sku_id,sku_name,Description,Class,Wheat,Soybean,Rice,Groundnut,Cotton,Tea,Chilli,Onion,Groundnut,Apple,Barley,Rye,Triticale,Corn,Potato,Onions,Tomato,Beans,Grapes,Mangoes,Strawberries,Grapes
SY_TILT_250EC,Tilt 250 EC,"Tilt 250 EC is a broad-spectrum, systemic foliar fungicide used to prevent, cure, and eradicate fungal diseases in a wide variety of crops",Fungicide,"Leaf rust, stem rust, stripe rust, Karnal bunt",Rust,Sheath blight,"Early leaf spot, late leaf spot, and rust",Leaf spot,Blister blight,,,,,,,,,,,,,,,,
SY_SCO_250EC,Score 250 EC,"Score 250 EC by Syngenta is a broad-spectrum, systemic triazole fungicide containing 250 g/L Difenoconazole. It provides strong preventive and curative control against fungal diseases—such as leaf spots, powdery mildew, rust, and scab—in various vegetables, fruits, and cash crops.",Fungicide,,,Shealth blight,,,,"Dieback, fruit rot",Purple blotch,"Leaf spot, rust",Scab,,,,,,,,,,,,
SY_AXI_50EC,Axial 50 EC,"Axial 50 EC is a selective, systemic post-emergence herbicide primarily used in wheat and barley to control tough annual grassy weeds like Phalaris minor (littleseed canary grass), wild oats, and ryegrass.",Herbicide,"Weeds, Phalaris Minor",,,,,,,,,,"Weeds, Phalaris Minor",,,,,,,,,,,
SY_VIB_INT,Vibrance Integral,"Vibrance Integral is an advanced, broad-spectrum seed-applied treatment that combines fungicides and an insecticide to protect both seeds and early-stage roots","Fungicide, Insecticide",,"Early-stage sucking pests, soil insects, Termites, Early-stage root rot, seed decay, and Post-emergence Damping-off","Leaf Blast, Brown Spot, Sheath Blight, seed rot, sucking pests, soil insects, Termites",,,,,,,,,,,,,,,,,,,
SY_TOP_15WP,Topik 15 WP,Topik 15 WP (manufactured by Syngenta) is a selective post-emergence herbicide containing 15% Clodinafop-Propargyl. It is designed specifically to control invasive grassy weeds,Herbicide,"Weeds (Canary Grass (Phalaris minor), Wild Oats (Avena fatua), and Rough Meadow-grass)","Girdle beetles, stem flies, whiteflies, aphids",,,,,,,,,,weeds,weeds,,,,,,,,,
SY_CRU_350FS,Cruiser 350 FS,"It is used as a seed treatment to protect crops (like corn, soybean, and cotton) from early-season insects, sucking pests, and soil-swelling pests.",Pesticide (Insecticide),"Russian wheat aphids, wireworms, true/false wireworms",,"Soil-dwelling pests, bean flies, and early leaf-eating insects",,"Jassids, thrips, whiteflies, aphids",,,,,,"Russian wheat aphids, wireworms, true/false wireworms",,,"Shoot flies, wireworms, aphids, leaf-feeding beetles",,,,,,,,
SY_AMI_250SC,Amistar 250 SC,"It is widely used to prevent and control fungal diseases (such as powdery mildew, downy mildew, and blights) in crops like cereals, vegetables, and fruits, while promoting plant health and yield.",Fungicide,"rusts, scald, spot blotch, leaf/glume blotch",,,,,,,,,,"rusts, scald, spot blotch, leaf/glume blotch",,,"rusts, scald, spot blotch, leaf/glume blotch","early/late blight, downy mildew,  botrytis.","early/late blight, downy mildew, botrytis.","early/late blight, downy mildew, botrytis.","early/late blight, downy mildew, botrytis.","powdery mildew, downy mildew, anthracnose","powdery mildew, downy mildew, anthracnose","powdery mildew, downy mildew, anthracnose",
SY_MOV_60,Movondo,"a pre-emergence, selective herbicide from Syngenta India designed to control grassy weeds, particularly Phalaris minor (Gulli Danda), in wheat, soybean, and corn crops.",Herbicide,Weeds (Phalaris minor),Weeds (Phalaris minor),,,,,,,,,,,,Weeds (Phalaris minor),,,,,,,,
SY_ACT_25WG,Actara 25 WG,"control sucking and chewing pests like aphids, whiteflies, thrips, and jassids",Pesticide (Insecticide),,,"Stem Borer, Gall Midge, Leaf Folder, Plant Hoppers",,"Jassids, Aphids, Whiteflies",,,,,,,,,,,,"Whiteflies, Jassids",,,Mango hooper,,
SY_KAV_75WP,Kavach 75 WP,It is widely used by farmers to prevent and control various fungal infections across multiple crops,Fungicide,,,,"Tikka Leafspot, Rust",,,Fruit Rot,,,,,,,,"Early blight, Late Blight",,,,,,,"Anthracnose, Downy Mildew"
SY_ALTO_5SC,Alto 5 SC,,,,,,,,,,,,,,,,,,,,,,,,
SY_VER_18EC,Vertimec 1.8 EC,"While it is highly effective against mites, thrips, and leafminers, it is strictly meant for specific registered agricultural commodities and is also highly toxic to aquatic life, fish, and bees",Pesticide,,,,,"control mites, thrips, and leafminers",,,,,,,,"control mites, thrips, and leafminers",,,,,,,,"control mites, thrips, and leafminers",